geneId	symbol	chromosome	Synonyms	type_of_gene
4257	MGST1	12	GST12|MGST|MGST-I	protein-coding
4258	MGST2	4	GST2|MGST-II	protein-coding
4259	MGST3	1	GST-III	protein-coding
4261	CIITA	16	C2TA|CIITAIV|MHC2TA|NLRA	protein-coding
4264	MHS2	17	-	unknown
4265	MHS4	3	-	unknown
4266	MHS6	5	-	unknown
4267	CD99	X|Y	HBA71|MIC2|MIC2X|MIC2Y|MSK5X	protein-coding
4270	MIC7	15	-	unknown
4273	MIC12	15	-	unknown
4277	MICB	6	PERB11.2	protein-coding
4279	MICD	6	PERB11.4	pseudo
4280	MICE	6	PERB11.5|dJ377H14.7	pseudo
4281	MID1	X	BBBG1|FXY|GBBB1|MIDIN|OGS1|OS|OSX|RNF59|TRIM18|XPRF|ZNFXY	protein-coding
4282	MIF	22	GIF|GLIF|MMIF	protein-coding
4283	CXCL9	4	CMK|Humig|MIG|SCYB9|crg-10	protein-coding
4284	MIP	12	AQP0|CTRCT15|LIM1|MIP26|MP26	protein-coding
4285	MIPEP	13	COXPD31|HMIP|MIP	protein-coding
4286	MITF	3	CMM8|COMMAD|MI|WS2|WS2A|bHLHe32	protein-coding
4287	ATXN3	14	AT3|ATX3|JOS|MJD|MJD1|SCA3	protein-coding
4288	MKI67	10	KIA|MIB-|MIB-1|PPP1R105	protein-coding
4289	MKLN1	7	TWA2	protein-coding
4291	MLF1	3	-	protein-coding
4292	MLH1	3	COCA2|FCC2|HNPCC|HNPCC2|hMLH1	protein-coding
4293	MAP3K9	14	MEKK9|MLK1|PRKE1	protein-coding
4294	MAP3K10	19	MEKK10|MLK2|MST	protein-coding
4295	MLN	6	-	protein-coding
4296	MAP3K11	11	MEKK11|MLK-3|MLK3|PTK1|SPRK	protein-coding
4297	KMT2A	11	ALL-1|CXXC7|HRX|HTRX1|MLL|MLL1|MLL1A|TRX1|WDSTS	protein-coding
4298	MLLT1	19	ENL|LTG19|YEATS1	protein-coding
4299	AFF1	4	AF4|MLLT2|PBM1	protein-coding
4300	MLLT3	9	AF9|YEATS3	protein-coding
4301	AFDN	6	AF6|MLL-AF6|MLLT4|l-afadin	protein-coding
4302	MLLT6	17	AF17	protein-coding
4303	FOXO4	X	AFX|AFX1|MLLT7	protein-coding
4306	NR3C2	4	MCR|MLR|MR|NR3C2VIT	protein-coding
4308	TRPM1	15	CSNB1C|LTRPC1|MLSN1	protein-coding
4309	MLVI2	5	-	other
4311	MME	3	CALLA|CD10|CMT2T|NEP|SCA43|SFE	protein-coding
4312	MMP1	11	CLG|CLGN	protein-coding
4313	MMP2	16	CLG4|CLG4A|MMP-2|MMP-II|MONA|TBE-1	protein-coding
4314	MMP3	11	CHDS6|MMP-3|SL-1|STMY|STMY1|STR1	protein-coding
4316	MMP7	11	MMP-7|MPSL1|PUMP-1	protein-coding
4317	MMP8	11	CLG1|HNC|MMP-8|PMNL-CL	protein-coding
4318	MMP9	20	CLG4B|GELB|MANDP2|MMP-9	protein-coding
4319	MMP10	11	SL-2|STMY2	protein-coding
4320	MMP11	22	SL-3|ST3|STMY3	protein-coding
4321	MMP12	11	HME|ME|MME|MMP-12	protein-coding
4322	MMP13	11	CLG3|MANDP1|MDST|MMP-13	protein-coding
4323	MMP14	14	MMP-14|MMP-X1|MT-MMP|MT-MMP 1|MT1-MMP|MT1MMP|MTMMP1|WNCHRS	protein-coding
4324	MMP15	16	MMP-15|MT2-MMP|MT2MMP|MTMMP2|SMCP-2	protein-coding
4325	MMP16	8	C8orf57|MMP-X2|MT-MMP2|MT-MMP3|MT3-MMP	protein-coding
4326	MMP17	12	MMP-17|MT4-MMP|MT4MMP|MTMMP4	protein-coding
4327	MMP19	12	CODA|MMP18|RASI-1	protein-coding
4329	ALDH6A1	14	MMSADHA|MMSDH	protein-coding
4330	MN1	22	MGCR|MGCR1|MGCR1-PEN|dJ353E16.2	protein-coding
4331	MNAT1	14	CAP35|MAT1|RNF66|TFB3	protein-coding
4332	MNDA	1	PYHIN3	protein-coding
4335	MNT	17	MAD6|MXD6|ROX|bHLHd3	protein-coding
4336	MOBP	3	-	protein-coding
4337	MOCS1	6	MIG11|MOCOD|MOCODA	protein-coding
4338	MOCS2	5	MCBPE|MOCO1|MOCODB|MPTS	protein-coding
4340	MOG	6	BTN6|BTNL11|MOGIG2|NRCLP7	protein-coding
4342	MOS	8	MSV	protein-coding
4343	MOV10	1	fSAP113|gb110	protein-coding
4345	CD200	3	MOX1|MOX2|MRC|OX-2	protein-coding
4350	MPG	16	AAG|ADPG|APNG|CRA36.1|MDG|Mid1|PIG11|PIG16|anpg	protein-coding
4351	MPI	15	CDG1B|PMI|PMI1	protein-coding
4352	MPL	1	C-MPL|CD110|MPLV|THCYT2|TPOR	protein-coding
4353	MPO	17	-	protein-coding
4354	MPP1	X	AAG12|DXS552E|EMP55|MRG1|PEMP	protein-coding
4355	MPP2	17	DLG2	protein-coding
4356	MPP3	17	DLG3	protein-coding
4357	MPST	22	MST|TST2|TUM1	protein-coding
4358	MPV17	2	MTDPS6|SYM1	protein-coding
4359	MPZ	1	CHM|CMT1|CMT1B|CMT2I|CMT2J|CMT4E|CMTDI3|CMTDID|DSS|HMSNIB|MPP|P0	protein-coding
4360	MRC1	10	CD206|CLEC13D|CLEC13DL|MMR|MRC1L1|bA541I19.1|hMR	protein-coding
4361	MRE11	11	ATLD|HNGS1|MRE11A|MRE11B	protein-coding
4362	MRE11P1	3	MRE11B|hMRE11B	pseudo
4363	ABCC1	16	ABC29|ABCC|GS-X|MRP|MRP1	protein-coding
4364	MRSD	X	CHRS	unknown
4366	MRX4	X	-	unknown
4369	MRX5	X	-	unknown
4370	MRX6	X	-	unknown
4371	MRX7	X	-	unknown
4372	MRX8	X	-	unknown
4375	MRX11	X	-	unknown
4378	MRX14	X	-	unknown
4379	MRX15	X	-	unknown
4381	MRX17	X	-	unknown
4382	MRX18	X	-	unknown
4384	MRX20	X	-	unknown
4387	MRX23	X	-	unknown
4388	MRX24	X	-	unknown
4389	MRX25	X	-	unknown
4390	MRX26	X	-	unknown
4391	MRX27	X	-	unknown
4392	MRX28	X	-	unknown
4395	MRX31	X	-	unknown
4397	MS	-	MS1	unknown
4402	MRX37	X	-	unknown
4404	MRX39	X	-	unknown
4405	MRX40	X	-	unknown
4406	MRX42	X	-	unknown
4412	MRX49	X	-	unknown
4413	MRX50	X	-	unknown
4414	MRX51	X	-	unknown
4416	MRX53	X	-	unknown
4419	MRX56	X	-	unknown
4420	MRX57	X	-	unknown
4424	MRX61	X	-	unknown
4427	MRX64	X	-	unknown
4428	MRX65	X	-	unknown
4429	MRXS7	X	-	unknown
4430	MYO1B	2	MMI-alpha|MMIa|MYH-1c|myr1	protein-coding
4431	MSBP1	-	-	protein-coding
4432	MSBP2	-	-	protein-coding
4434	MSD	X	-	unknown
4435	CITED1	X	MSG1	protein-coding
4436	MSH2	2	COCA1|FCC1|HNPCC|HNPCC1|LCFS2	protein-coding
4437	MSH3	5	DUP|FAP4|MRP1	protein-coding
4438	MSH4	1	-	protein-coding
4439	MSH5	6	G7|MUTSH5|NG23	protein-coding
4440	MSI1	12	-	protein-coding
4447	MSK9	3	-	protein-coding
4448	MSK10	3	-	protein-coding
4467	MSK32	3	-	protein-coding
4473	MSK38	20	-	protein-coding
4477	MSMB	10	HPC13|IGBF|MSP|MSPB|PN44|PRPS|PSP|PSP-94|PSP57|PSP94	protein-coding
4478	MSN	X	HEL70|IMD50	protein-coding
4479	MSNP1	5	MSNL1	pseudo
4481	MSR1	8	CD204|SCARA1|SR-A|SR-AI|SR-AII|SR-AIII|SRA|phSR1|phSR2	protein-coding
4482	MSRA	8	PMSR	protein-coding
4485	MST1	3	D3F15S2|DNF15S2|HGFL|MSP|NF15S2	protein-coding
4486	MST1R	3	CD136|CDw136|NPCA3|PTK8|RON	protein-coding
4487	MSX1	4	ECTD3|HOX7|HYD1|STHAG1	protein-coding
4488	MSX2	5	CRS2|FPP|HOX8|MSH|PFM|PFM1	protein-coding
4489	MT1A	16	MT1|MT1S|MTC	protein-coding
4490	MT1B	16	MT-1B|MT-IB|MT1|MT1Q|MTP	protein-coding
4493	MT1E	16	MT-1E|MT-IE|MT1|MTD	protein-coding
4494	MT1F	16	MT1	protein-coding
4495	MT1G	16	MT1|MT1K	protein-coding
4496	MT1H	16	MT-0|MT-1H|MT-IH|MT1	protein-coding
4498	MT1JP	16	MT1|MT1J|MT1NP|MTB	pseudo
4499	MT1M	16	MT-1M|MT-IM|MT1|MT1K	protein-coding
4500	MT1L	16	MT1|MT1R|MTF	pseudo
4501	MT1X	16	MT-1l|MT1	protein-coding
4502	MT2A	16	MT2	protein-coding
4503	MT2P1	4	-	pseudo
4504	MT3	16	GIF|GIFB|GRIF|ZnMT3	protein-coding
4507	MTAP	9	BDMF|DMSFH|DMSMFH|HEL-249|LGMBF|MSAP|c86fus	protein-coding
4511	TRNC	MT	MTTC	tRNA
4515	MTCP1	X	P13MTCP1|p8MTCP1	protein-coding
4520	MTF1	1	MTF-1|ZRF	protein-coding
4521	NUDT1	7	MTH1	protein-coding
4522	MTHFD1	14	MTHFC|MTHFD	protein-coding
4523	MTHFD1P1	X	MTHFDL1|MTHFDP1	pseudo
4524	MTHFR	1	-	protein-coding
4528	MTIF2	2	-	protein-coding
4531	MTL3P	18	MTL3	pseudo
4534	MTM1	X	CNM|MTMX|XLMTM	protein-coding
4542	MYO1F	19	-	protein-coding
4543	MTNR1A	4	MEL-1A-R|MT1	protein-coding
4544	MTNR1B	11	FGQTL2|MEL-1B-R|MT2	protein-coding
4547	MTTP	4	ABL|MTP	protein-coding
4548	MTR	1	HMAG|MS|cblG	protein-coding
4549	RNR1	MT	MTRNR1	rRNA
4550	RNR2	MT	MTRNR2	rRNA
4552	MTRR	5	MSR|cblE	protein-coding
4553	TRNA	MT	MTTA	tRNA
4555	TRND	MT	MTTD	tRNA
4556	TRNE	MT	MTTE	tRNA
4558	TRNF	MT	-	tRNA
4563	TRNG	MT	MTTG	tRNA
4564	TRNH	MT	MTTH	tRNA
4565	TRNI	MT	MTTI	tRNA
4566	TRNK	MT	MTTK	tRNA
4567	TRNL1	MT	MTTL1	tRNA
4568	TRNL2	MT	MTTL2	tRNA
4569	TRNM	MT	MTTM	tRNA
4570	TRNN	MT	MTTN	tRNA
4571	TRNP	MT	MTTP	tRNA
4572	TRNQ	MT	MTTQ	tRNA
4573	TRNR	MT	MTTR	tRNA
4574	TRNS1	MT	MTTS1	tRNA
4575	TRNS2	MT	MTTS2	tRNA
4576	TRNT	MT	MTTT	tRNA
4577	TRNV	MT	MTTV	tRNA
4578	TRNW	MT	MTTW	tRNA
4579	TRNY	MT	MTTY	tRNA
4580	MTX1	1	MTX|MTXN	protein-coding
4581	MTX1P1	1	MTX1P|MTXP|psMTX	pseudo
4582	MUC1	1	ADMCKD|ADMCKD1|CA 15-3|CD227|EMA|H23AG|KL-6|MAM6|MCD|MCKD|MCKD1|MUC-1|MUC-1/SEC|MUC-1/X|MUC1/ZD|PEM|PEMT|PUM	protein-coding
4583	MUC2	11	MLP|MUC-2|SMUC	protein-coding
4584	MUC3A	7	MUC-3A|MUC3	protein-coding
4585	MUC4	3	ASGP|HSA276359|MUC-4	protein-coding
4586	MUC5AC	11	MUC5|TBM|leB|mucin	protein-coding
4588	MUC6	11	MUC-6	protein-coding
4589	MUC7	4	MG2	protein-coding
4591	TRIM37	17	MUL|POB1|TEF3	protein-coding
4593	MUSK	9	CMS9|FADS	protein-coding
4594	MUT	6	MCM	protein-coding
4595	MUTYH	1	MYH	protein-coding
4597	MVD	16	FP17780|MDDase|MPD|POROK7	protein-coding
4598	MVK	12	LRBP|MK|MVLK|POROK3	protein-coding
4599	MX1	21	IFI-78K|IFI78|MX|MxA	protein-coding
4600	MX2	21	MXB	protein-coding
4601	MXI1	10	MAD2|MXD2|MXI|bHLHc11	protein-coding
4602	MYB	6	Cmyb|c-myb|c-myb_CDS|efg	protein-coding
4603	MYBL1	8	A-MYB|AMYB	protein-coding
4604	MYBPC1	12	LCCS4|MYBPCC|MYBPCS	protein-coding
4605	MYBL2	20	B-MYB|BMYB	protein-coding
4606	MYBPC2	19	MYBPC|MYBPCF	protein-coding
4607	MYBPC3	11	CMD1MM|CMH4|FHC|LVNC10|MYBP-C	protein-coding
4608	MYBPH	1	-	protein-coding
4609	MYC	8	MRTL|MYCC|bHLHe39|c-Myc	protein-coding
4610	MYCL	1	L-Myc|LMYC|MYCL1|bHLHe38	protein-coding
4611	MYCLP1	X	L-MYC2|MYCL1P1|MYCL2|bHLHe38	pseudo
4613	MYCN	2	MODED|N-myc|NMYC|ODED|bHLHe37	protein-coding
4615	MYD88	3	MYD88D	protein-coding
4616	GADD45B	19	GADD45BETA|MYD118	protein-coding
4617	MYF5	12	bHLHc2	protein-coding
4618	MYF6	12	CNM3|MRF4|bHLHc4|myf-6	protein-coding
4619	MYH1	17	HEL71|MYHSA1|MYHa|MyHC-2X/D|MyHC-2x	protein-coding
4620	MYH2	17	IBM3|MYH2A|MYHSA2|MYHas8|MYPOP|MyHC-2A|MyHC-IIa	protein-coding
4621	MYH3	17	DA2A|DA2B|DA8|HEMHC|MYHC-EMB|MYHSE1|SMHCE	protein-coding
4622	MYH4	17	MYH2B|MyHC-2B|MyHC-IIb	protein-coding
4624	MYH6	14	ASD3|CMD1EE|CMH14|MYHC|MYHCA|SSS3|alpha-MHC	protein-coding
4625	MYH7	14	CMD1S|CMH1|MPD1|MYHCB|SPMD|SPMM	protein-coding
4626	MYH8	17	DA7|MyHC-peri|MyHC-pn|gtMHC-F	protein-coding
4627	MYH9	22	BDPLT6|DFNA17|EPSTS|FTNS|MHA|NMHC-II-A|NMMHC-IIA|NMMHCA	protein-coding
4628	MYH10	17	NMMHC-IIB|NMMHCB	protein-coding
4629	MYH11	16	AAT4|FAA4|SMHC|SMMHC	protein-coding
4632	MYL1	2	MLC1F|MLC3F	protein-coding
4633	MYL2	12	CMH10|MLC-2s/v|MLC2	protein-coding
4634	MYL3	3	CMH8|MLC-lV/sb|MLC1SB|MLC1V|VLC1|VLCl	protein-coding
4635	MYL4	17	ALC1|AMLC|GT1|PRO1957	protein-coding
4636	MYL5	4	-	protein-coding
4637	MYL6	12	ESMLC|LC17|LC17-GI|LC17-NM|LC17A|LC17B|MLC-3|MLC1SM|MLC3NM|MLC3SM	protein-coding
4638	MYLK	3	AAT7|KRP|MLCK|MLCK1|MLCK108|MLCK210|MSTP083|MYLK1|smMLCK	protein-coding
4640	MYO1A	12	BBMI|DFNA48|MIHC|MYHL	protein-coding
4641	MYO1C	17	MMI-beta|MMIb|NMI|myr2	protein-coding
4642	MYO1D	17	PPP1R108|myr4	protein-coding
4643	MYO1E	15	FSGS6|HuncM-IC|MYO1C	protein-coding
4644	MYO5A	15	GS1|MYH12|MYO5|MYR12	protein-coding
4645	MYO5B	18	-	protein-coding
4646	MYO6	6	DFNA22|DFNB37	protein-coding
4647	MYO7A	11	DFNA11|DFNB2|MYOVIIA|MYU7A|NSRD2|USH1B	protein-coding
4648	MYO7B	2	-	protein-coding
4649	MYO9A	15	-	protein-coding
4650	MYO9B	19	CELIAC4|MYR5	protein-coding
4651	MYO10	5	-	protein-coding
4653	MYOC	1	GLC1A|GPOA|JOAG|JOAG1|TIGR	protein-coding
4654	MYOD1	11	MYF3|MYOD|PUM|bHLHc1	protein-coding
4655	MYSA	-	-	protein-coding
4656	MYOG	1	MYF4|bHLHc3|myf-4	protein-coding
4657	MYP1	X	BED	unknown
4658	MYP2	18	-	unknown
4659	PPP1R12A	12	M130|MBS|MYPT1	protein-coding
4660	PPP1R12B	1	MYPT2|PP1bp55	protein-coding
4661	MYT1	20	C20orf36|MTF1|MYTI|NZF2|PLPB1|ZC2H2C1|ZC2HC4A	protein-coding
4664	NAB1	2	-	protein-coding
4665	NAB2	12	MADER	protein-coding
4666	NACA	12	HSD48|NAC-alpha|NACA1|skNAC	protein-coding
4668	NAGA	22	D22S674|GALB	protein-coding
4669	NAGLU	17	CMT2V|MPS-IIIB|MPS3B|NAG|UFHSD	protein-coding
4670	HNRNPM	19	CEAR|HNRNPM4|HNRPM|HNRPM4|HTGR1|NAGR1|hnRNP M	protein-coding
4671	NAIP	5	BIRC1|NLRB1|psiNAIP	protein-coding
4673	NAP1L1	12	NAP1|NAP1L|NRP	protein-coding
4674	NAP1L2	X	BPX	protein-coding
4675	NAP1L3	X	MB20|NPL3	protein-coding
4676	NAP1L4	11	NAP1L4b|NAP2|NAP2L|hNAP2	protein-coding
4677	NARS	18	ASNRS|NARS1	protein-coding
4678	NASP	1	FLB7527|HMDRA1|PRO1999	protein-coding
4680	CEACAM6	19	CD66c|CEAL|NCA	protein-coding
4681	NBL1	1	D1S1733E|DAN|DAND1|NB|NO3	protein-coding
4682	NUBP1	16	NBP|NBP1|NBP35	protein-coding
4683	NBN	8	AT-V1|AT-V2|ATV|NBS|NBS1|P95	protein-coding
4684	NCAM1	11	CD56|MSK39|NCAM	protein-coding
4685	NCAM2	21	NCAM21	protein-coding
4686	NCBP1	9	CBP80|NCBP|Sto1	protein-coding
4688	NCF2	1	NCF-2|NOXA2|P67-PHOX|P67PHOX	protein-coding
4689	NCF4	22	CGD3|NCF|P40PHOX|SH3PXD4	protein-coding
4690	NCK1	3	NCK|NCKalpha|nck-1	protein-coding
4691	NCL	2	C23	protein-coding
4692	NDN	15	HsT16328|PWCR	protein-coding
4693	NDP	X	EVR2|FEVR|ND	protein-coding
4694	NDUFA1	X	CI-MWFE|MWFE|ZNF183	protein-coding
4695	NDUFA2	5	B8|CD14|CIB8	protein-coding
4696	NDUFA3	19	B9|CI-B9	protein-coding
4697	NDUFA4	7	CI-9k|CI-MLRQ|MLRQ	protein-coding
4698	NDUFA5	7	B13|CI-13KD-B|CI-13kB|NUFM|UQOR13	protein-coding
4699	NDUFA5P1	11	-	pseudo
4700	NDUFA6	22	B14|CI-B14|LYRM6|NADHB14	protein-coding
4701	NDUFA7	19	B14.5a|CI-B14.5a	protein-coding
4702	NDUFA8	9	CI-19KD|CI-PGIV|PGIV	protein-coding
4703	NEB	2	NEB177D|NEM2	protein-coding
4704	NDUFA9	12	CC6|CI-39k|CI39k|NDUFS2L|SDR22E1	protein-coding
4705	NDUFA10	2	CI-42KD|CI-42k	protein-coding
4706	NDUFAB1	16	ACP|ACP1|FASN2A|SDAP	protein-coding
4707	NDUFB1	14	CI-MNLL|CI-SGDH|MNLL	protein-coding
4708	NDUFB2	7	AGGG|CI-AGGG	protein-coding
4709	NDUFB3	2	B12|CI-B12	protein-coding
4710	NDUFB4	3	B15|CI-B15	protein-coding
4711	NDUFB5	3	CISGDH|SGDH	protein-coding
4712	NDUFB6	9	B17|CI	protein-coding
4713	NDUFB7	19	B18|CI-B18	protein-coding
4714	NDUFB8	10	ASHI|CI-ASHI	protein-coding
4715	NDUFB9	8	B22|CI-B22|LYRM3|UQOR22	protein-coding
4716	NDUFB10	16	PDSW	protein-coding
4717	NDUFC1	4	KFYI	protein-coding
4718	NDUFC2	11	B14.5b|CI-B14.5b|HLC-1|NADHDH2	protein-coding
4719	NDUFS1	2	CI-75Kd|CI-75k|PRO1304	protein-coding
4720	NDUFS2	1	CI-49	protein-coding
4722	NDUFS3	11	CI-30	protein-coding
4723	NDUFV1	11	CI-51K|CI51KD|UQOR1	protein-coding
4724	NDUFS4	5	AQDQ|CI-18|CI-18 kDa|CI-AQDQ	protein-coding
4725	NDUFS5	1	CI-15k|CI15K	protein-coding
4726	NDUFS6	5	CI-13kA|CI-13kD-A|CI13KDA	protein-coding
4728	NDUFS8	11	CI-23k|CI23KD|TYKY	protein-coding
4729	NDUFV2	18	CI-24k	protein-coding
4730	NDUFV2P1	19	-	pseudo
4731	NDUFV3	21	CI-10k|CI-9KD	protein-coding
4733	DRG1	22	NEDD3	protein-coding
4734	NEDD4	15	NEDD4-1|RPF1	protein-coding
4735	SEPT2	2	DIFF6|NEDD-5|NEDD5|Pnutl3|hNedd5	protein-coding
4736	RPL10A	6	CSA19|Csa-19|L10A|NEDD6	protein-coding
4738	NEDD8	14	NEDD-8	protein-coding
4739	NEDD9	6	CAS-L|CAS2|CASL|CASS2|HEF1	protein-coding
4741	NEFM	8	NEF3|NF-M|NFM	protein-coding
4744	NEFH	22	CMT2CC|NFH	protein-coding
4745	NELL1	11	IDH3GL|NRP1	protein-coding
4747	NEFL	8	CMT1F|CMT2E|NF-L|NF68|NFL|PPP1R110	protein-coding
4750	NEK1	4	NY-REN-55|SRPS2|SRPS2A|SRTD6	protein-coding
4751	NEK2	1	HsPK21|NEK2A|NLK1|PPP1R111|RP67	protein-coding
4752	NEK3	13	HSPK36	protein-coding
4753	NELL2	12	NRP2	protein-coding
4756	NEO1	15	IGDCC2|NGN|NTN1R2	protein-coding
4758	NEU1	6	NANH|NEU|SIAL1	protein-coding
4759	NEU2	2	SIAL2	protein-coding
4760	NEUROD1	2	BETA2|BHF-1|MODY6|NEUROD|bHLHa3	protein-coding
4761	NEUROD2	17	NDRF|bHLHa1	protein-coding
4762	NEUROG1	5	AKA|Math4C|NEUROD3|bHLHa6|ngn1	protein-coding
4763	NF1	17	NFNS|VRNF|WSS	protein-coding
4764	NF1P3	21	NF1L1	pseudo
4768	NF1P5	18	NF1L5	pseudo
4771	NF2	22	ACN|BANF|SCH	protein-coding
4772	NFATC1	18	NF-ATC|NF-ATc1.2|NFAT2|NFATc	protein-coding
4773	NFATC2	20	NFAT1|NFATP	protein-coding
4774	NFIA	1	CTF|NF-I/A|NF1-A|NFI-A|NFI-L	protein-coding
4775	NFATC3	16	NFAT4|NFATX	protein-coding
4776	NFATC4	14	NF-AT3|NF-ATC4|NFAT3	protein-coding
4778	NFE2	12	NF-E2|p45	protein-coding
4779	NFE2L1	17	LCR-F1|NRF1|TCF11	protein-coding
4780	NFE2L2	2	HEBP1|NRF2	protein-coding
4781	NFIB	9	CTF|HMGIC/NFIB|NF-I/B|NF1-B|NFI-B|NFI-RED|NFIB2|NFIB3	protein-coding
4782	NFIC	19	CTF|CTF5|NF-I|NFI	protein-coding
4783	NFIL3	9	E4BP4|IL3BP1|NF-IL3A|NFIL3A	protein-coding
4784	NFIX	19	CTF|MRSHSS|NF-I/X|NF1-X|NF1A|SOTOS2	protein-coding
4790	NFKB1	4	CVID12|EBP-1|KBF1|NF-kB1|NF-kappa-B|NF-kappaB|NFKB-p105|NFKB-p50|NFkappaB|p105|p50	protein-coding
4791	NFKB2	10	CVID10|H2TF1|LYT-10|LYT10|NF-kB2|p100|p49/p100|p52	protein-coding
4792	NFKBIA	14	IKBA|MAD-3|NFKBI	protein-coding
4793	NFKBIB	19	IKBB|TRIP9	protein-coding
4794	NFKBIE	6	IKBE	protein-coding
4795	NFKBIL1	6	IKBL|LST1|NFKBIL	protein-coding
4796	TONSL	8	IKBR|NFKBIL2	protein-coding
4798	NFRKB	11	INO80G	protein-coding
4799	NFX1	9	NFX2|TEG-42|Tex42	protein-coding
4800	NFYA	6	CBF-A|CBF-B|HAP2|NF-YA	protein-coding
4801	NFYB	12	CBF-A|CBF-B|HAP3|NF-YB	protein-coding
4802	NFYC	1	CBF-C|CBFC|H1TF2A|HAP5|HSM|NF-YC	protein-coding
4803	NGF	1	Beta-NGF|HSAN5|NGFB	protein-coding
4804	NGFR	17	CD271|Gp80-LNGFR|TNFRSF16|p75(NTR)|p75NTR	protein-coding
4805	NHCP1	16	-	unknown
4807	NHLH1	1	HEN1|NSCL|NSCL1|bHLHa35	protein-coding
4808	NHLH2	1	HEN2|NSCL2|bHLHa34	protein-coding
4809	SNU13	22	15.5K|FA-1|FA1|NHP2L1|NHPX|OTK27|SNRNP15-5|SPAG12|SSFA1	protein-coding
4810	NHS	X	CTRCT40|CXN|SCML1	protein-coding
4811	NID1	1	NID	protein-coding
4812	NIDDM1	2	-	unknown
4813	NIDDM2	12	-	unknown
4814	NINJ1	9	NIN1|NINJURIN	protein-coding
4815	NINJ2	12	-	protein-coding
4817	NIT1	1	-	protein-coding
4818	NKG7	19	GIG1|GMP-17|p15-TIA-1	protein-coding
4819	NKS1	6	EC-1|EC1	unknown
4820	NKTR	3	p104	protein-coding
4821	NKX2-2	20	NKX2.2|NKX2B	protein-coding
4824	NKX3-1	8	BAPX2|NKX3|NKX3.1|NKX3A	protein-coding
4825	NKX6-1	4	NKX6.1|NKX6A	protein-coding
4826	NNAT	20	Peg5	protein-coding
4827	NM	7	GP130|NCR	unknown
4828	NMB	15	-	protein-coding
4829	NMBR	6	BB1|BB1R|NMB-R	protein-coding
4830	NME1	17	AWD|GAAD|NB|NBS|NDKA|NDPK-A|NDPKA|NM23|NM23-H1	protein-coding
4831	NME2	17	NDKB|NDPK-B|NDPKB|NM23-H2|NM23B|PUF	protein-coding
4832	NME3	16	DR-nm23|NDPK-C|NDPKC|NM23-H3|NM23H3|c371H6.2	protein-coding
4833	NME4	16	NDPK-D|NM23H4|nm23-H4	protein-coding
4835	NQO2	6	DHQV|DIA6|NMOR2|QR2	protein-coding
4836	NMT1	17	NMT	protein-coding
4837	NNMT	11	-	protein-coding
4838	NODAL	10	HTX5	protein-coding
4839	NOP2	12	NOL1|NOP120|NSUN1|p120	protein-coding
4841	NONO	X	MRXS34|NMT55|NRB54|P54|P54NRB|PPP1R114	protein-coding
4842	NOS1	12	IHPS1|N-NOS|NC-NOS|NOS|bNOS|nNOS	protein-coding
4843	NOS2	17	HEP-NOS|INOS|NOS|NOS2A	protein-coding
4846	NOS3	7	ECNOS|eNOS	protein-coding
4848	CNOT2	12	CDC36|HSPC131|NOT2|NOT2H	protein-coding
4849	CNOT3	19	LENG2|NOT3|NOT3H	protein-coding
4850	CNOT4	7	CLONE243|NOT4|NOT4H	protein-coding
4851	NOTCH1	9	AOS5|AOVD1|TAN1|hN1	protein-coding
4852	NPY	7	PYY4	protein-coding
4853	NOTCH2	1	AGS2|HJCYS|hN2	protein-coding
4854	NOTCH3	19	CADASIL|CADASIL1|CASIL|IMF2|LMNS	protein-coding
4855	NOTCH4	6	INT3	protein-coding
4856	NOV	8	CCN3|IBP-9|IGFBP-9|IGFBP9|NOVh	protein-coding
4857	NOVA1	14	Nova-1	protein-coding
4858	NOVA2	19	ANOVA|NOVA3	protein-coding
4860	PNP	14	NP|PRO1837|PUNP	protein-coding
4861	NPAS1	19	MOP5|PASD5|bHLHe11	protein-coding
4862	NPAS2	2	MOP4|PASD4|bHLHe9	protein-coding
4863	NPAT	11	E14|E14/NPAT|p220	protein-coding
4864	NPC1	18	NPC	protein-coding
4867	NPHP1	2	JBTS4|NPH1|SLSN1	protein-coding
4868	NPHS1	19	CNF|NPHN|nephrin	protein-coding
4869	NPM1	5	B23|NPM	protein-coding
4870	NPM1P1	18	NG1-1.6|NPMP1	pseudo
4871	NPM1P2	18	NG2-6|NPMP2	pseudo
4872	NPM1P3	16	NG2-6|NG3-3|NPM1P15|NPMP3	pseudo
4874	NPM1P5	15	NG5-4|NPMP5	pseudo
4875	NPM1P6	8	NG6-4|NPMP6	pseudo
4877	NT3	-	-	protein-coding
4878	NPPA	1	ANF|ANP|ATFB6|ATRST2|CDD|CDD-ANF|CDP|PND	protein-coding
4879	NPPB	1	BNP	protein-coding
4880	NPPC	2	CNP|CNP2	protein-coding
4881	NPR1	1	ANPRA|ANPa|GUC2A|GUCY2A|NPRA	protein-coding
4882	NPR2	9	AMDM|ANPRB|ANPb|ECDM|GUC2B|GUCY2B|NPRB|NPRBi|SNSK	protein-coding
4883	NPR3	5	ANP-C|ANPR-C|ANPRC|C5orf23|GUCY2B|NPR-C|NPRC	protein-coding
4884	NPTX1	17	NP1	protein-coding
4885	NPTX2	7	NARP|NP-II|NP2	protein-coding
